mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12,,,,,,,,,,,,,,
66.957306,15.122195,12.167051,-3.4262717,3.0484142,-4.423219,5.6907353,-3.1831977,5.009392,-4.252116,5.3228474,-3.3296673,,,,,,,,,,,,,,
65.236145,15.37883,11.969815,-2.4318936,5.56639,-2.4520736,7.094658,-4.0257425,3.5436056,-4.8583326,5.3970737,-3.554597,,,,,,,,,,,,,,
38.651596,21.352226,14.980939,-5.9333487,4.5137424,-1.7017107,8.707896,-4.1143966,4.6867967,-3.8279893,6.0186214,-3.9622881,,,,,,,,,,,,,,
42.683178,15.641492,15.222083,-6.4622626,3.2516217,-3.53677,6.3880424,-2.6650026,5.2909184,-3.3410993,5.5934415,-4.558618,,,,,,,,,,,,,,
63.40353,8.38299,9.641676,-1.7519244,5.4139214,-2.0814002,6.2767057,-2.03589,5.2061577,-3.2055035,4.4832096,-3.954861,,,,,,,,,,,,,,
59.166138,10.998577,11.433178,-0.67330295,5.72861,-3.027003,5.3659606,-2.4218779,6.120979,-2.5640266,4.819017,-4.0366883,,,,,,,,,,,,,,
24.894428,18.703022,15.51706,-1.0643747,7.609305,-3.124307,6.3266683,-3.7960052,5.7478824,-3.8329933,5.2089787,-4.763616,,,,,,,,,,,,,,
21.075148,20.040949,16.85264,-0.9688766,7.863617,-1.7622468,7.807881,-6.04712,5.4031773,-4.182748,5.9596705,-3.034434,,,,,,,,,,,,,,
14.864836,23.425814,16.117191,-2.1021929,6.7029233,-2.3227816,9.449021,-5.0558825,5.353263,-3.6727073,4.09741,-5.3019557,,,,,,,,,,,,,,
13.303226,19.288359,13.151455,-4.420919,3.5801044,-2.972103,7.5252757,-3.346325,4.64742,-4.99613,4.1102195,-4.19385,,,,,,,,,,,,,,
27.56889,22.016897,4.121596,-9.974206,2.855761,-3.889428,7.3062763,-4.1068015,6.8320704,-3.6814673,6.4475,-3.237278,,,,,,,,,,,,,,
35.195103,29.64968,8.7211485,-7.435082,5.480717,-2.5830016,6.5102954,-8.118532,5.081167,-6.2967167,5.0402327,-3.8806915,,,,,,,,,,,,,,
58.600815,14.638886,10.956323,-3.932879,3.0805438,-3.6273253,5.585633,-3.6813831,3.361833,-4.427466,4.7420955,-2.5157924,,,,,,,,,,,,,,
23.609367,30.480156,10.775999,-5.3506036,4.873767,-2.6881633,9.1845255,-4.5463476,4.828022,-6.770806,7.6085,-4.6048064,,,,,,,,,,,,,,
44.662575,17.628946,13.677986,-2.8621023,5.8002205,-1.6669908,8.103365,-3.427752,4.180956,-5.106001,5.9434566,-2.5401692,,,,,,,,,,,,,,
13.57951,32.728027,11.772446,-7.6042585,4.475557,-2.5755627,9.538526,-6.2129025,6.1051545,-4.5764556,8.782911,-4.838714,,,,,,,,,,,,,,
25.535563,19.103611,12.69243,-4.968418,4.825441,-2.697866,6.2809815,-4.220058,4.544427,-4.4989495,5.0291114,-2.8454185,,,,,,,,,,,,,,
7.1429605,25.734045,12.100497,-6.831401,6.006214,-3.4674122,6.5298934,-5.9086456,4.282209,-3.3249652,8.580562,-2.9925401,,,,,,,,,,,,,,
1.9155364,30.83894,10.800358,-6.971875,7.244108,-2.6235008,7.133085,-6.648273,4.5022044,-5.052497,7.5814734,-3.9074163,,,,,,,,,,,,,,
21.276707,17.653458,12.648482,-3.8590436,5.13603,-1.9936684,7.236208,-2.9464998,5.5736437,-2.8292394,6.323334,-3.5143201,,,,,,,,,,,,,,
7.0805006,29.239908,12.456796,-6.8637424,6.017636,-2.4203584,10.156935,-4.104063,6.989781,-3.5807097,6.7016892,-5.2989526,,,,,,,,,,,,,,
31.496256,20.819344,10.203831,-5.281377,2.0217364,-4.251109,6.1779084,-4.0752573,5.8945136,-2.0688026,5.1156588,-4.204993,,,,,,,,,,,,,,
69.78509,24.053865,12.383654,-6.7409635,4.654548,-3.7681806,6.428988,-2.5580878,5.896224,-3.8354683,5.3768053,-4.936952,,,,,,,,,,,,,,
60.03676,27.481688,12.191167,-8.470431,5.467941,-2.0759537,6.942295,-2.8411727,7.8529687,-0.8969174,8.785102,-4.5807223,,,,,,,,,,,,,,
83.26829,13.361988,10.702468,-2.8816574,4.427896,-3.85223,5.4508243,-2.2685692,6.2398777,-2.672157,5.5526104,-3.4633894,,,,,,,,,,,,,,
58.546597,18.575798,14.496011,-3.4075725,5.3714504,-3.6058445,5.9894953,-3.311359,5.994433,-3.043735,6.3011208,-4.464979,,,,,,,,,,,,,,
61.480263,10.869183,10.391705,-3.4820778,5.040252,-2.372341,6.8224726,-2.2257316,5.941233,-2.8332465,5.4444942,-3.0682323,,,,,,,,,,,,,,
56.569374,10.266068,11.555948,-0.90983284,5.72437,-3.0867167,4.934767,-3.6533036,4.3252897,-3.9605067,4.0416794,-4.7650695,,,,,,,,,,,,,,
46.3596,12.135699,11.873106,-2.114623,5.195182,-2.5609732,6.9165025,-2.1959584,5.545029,-3.4345703,4.9109645,-3.9304132,,,,,,,,,,,,,,
42.75034,12.387421,11.541455,-2.612475,4.9053016,-2.9258885,6.6957693,-2.6158347,5.8568425,-2.7197595,5.7963777,-3.5271564,,,,,,,,,,,,,,
30.896885,14.85984,11.625247,-4.267546,5.0995774,-2.2259161,7.5295672,-3.891987,4.3389993,-4.3096814,5.6240935,-4.8413677,,,,,,,,,,,,,,
32.275803,14.225426,11.973826,-2.910149,5.123283,-2.963081,6.599412,-2.8158453,6.000147,-3.3795059,4.9428973,-3.542897,,,,,,,,,,,,,,
10.645556,22.657444,14.338006,-9.0448675,6.060686,-4.4336047,9.158292,-3.0776327,8.113763,-3.1554804,6.721614,-3.6781974,,,,,,,,,,,,,,
15.617557,19.511156,13.526737,-7.499,3.5735013,-2.7120166,8.440119,-1.1548587,6.682976,-3.3574657,4.7905145,-4.0550437,,,,,,,,,,,,,,
24.92463,15.54412,11.095629,-4.1043663,4.524282,-2.533405,6.189978,-3.037155,5.1793475,-3.4813347,4.99224,-3.6876476,,,,,,,,,,,,,,
9.339409,22.051596,12.742369,-4.9442782,5.9404182,-1.268471,9.031564,-3.7571084,4.9923034,-4.8733544,5.3595166,-4.580515,,,,,,,,,,,,,,
13.269349,23.191462,13.624038,-4.907087,5.5781064,-1.4337798,7.1333046,-5.873094,5.017707,-3.3513396,6.661117,-5.349273,,,,,,,,,,,,,,
15.034706,21.534435,12.320032,-7.356392,4.2268744,-1.8396235,7.9579434,-4.4898643,4.3453116,-4.70704,5.1771135,-6.2578263,,,,,,,,,,,,,,
55.037533,22.547852,6.917737,-8.340813,2.9105427,-2.7178915,9.033998,-2.335533,6.672636,-3.7649174,7.1399612,-4.695551,,,,,,,,,,,,,,
65.28661,23.76847,13.123811,-7.585455,5.65429,-4.327334,8.009087,-3.8540351,5.964862,-4.440429,6.3276634,-4.338123,,,,,,,,,,,,,,
55.68714,29.356188,11.196415,-6.889797,4.0687027,-5.1520514,6.437048,-4.14751,5.0581603,-4.602658,7.394607,-5.966194,,,,,,,,,,,,,,
64.48898,15.628413,11.61595,-4.505524,3.179699,-4.090643,5.9263797,-4.443194,3.880822,-4.289175,5.2184844,-3.066537,,,,,,,,,,,,,,
